Key Id,Tournament Id,tournament Name,Match Id,Match Name,Team 1,Team 2,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw,Home Team FIFA Rank,Away Team FIFA Rank,Year,Home Team Squad Value (€M),Away Team Squad Value (€M),Home team win percentage,Away team win percentage,Home team wins in last 5 matches,Home team draws in last 5 matches,Home team losses in last 5 matches,Away team wins in last 5 matches,Away team draws in last 5 matches,Away team losses in last 5 matches,Home team points in last 5 matches,Away team points in last 5 matches,Home avg goals scored,Home avg goals conceded,Away avg goals scored,Away avg goals conceded,Home Elo,Away Elo,Head to Head Home Team Win,Head to Head Away Team Win,Head to Head Draw
11,WC-1930,1930 FIFA World Cup,M-1930-11,Argentina v Mexico,Argentina,Mexico,group stage,Group 1,1,0,0,0,1930-07-19,15:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-44,Mexico,MEX,63,6,3,3,-3,0,0,0-0,0,0,home team win,1,0,0,2.0,20.0,1930,2.2,0.5,0.8,0.0,1,0,0,0,0,2,3,0,1.0,0.0,0.5,3.5,1015.65,970.65,0,0,0
12,WC-1930,1930 FIFA World Cup,M-1930-12,Brazil v Bolivia,Brazil,Bolivia,group stage,Group 2,1,0,0,0,1930-07-20,13:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-09,Brazil,BRA,T-07,Bolivia,BOL,40,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,5.0,25.0,1930,1.6,0.4,0.5,0.0,0,0,1,0,0,1,0,0,1.0,2.0,0.0,4.0,985.0,985.65,0,0,0
13,WC-1930,1930 FIFA World Cup,M-1930-13,Paraguay v Belgium,Paraguay,Belgium,group stage,Group 4,1,0,0,0,1930-07-20,15:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-53,Paraguay,PRY,T-06,Belgium,BEL,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,15.0,8.0,1930,0.8,1.1,0.5,0.0,0,0,1,0,0,1,0,0,0.0,3.0,0.0,3.0,985.65,985.0,0,0,0
14,WC-1930,1930 FIFA World Cup,M-1930-14,Uruguay v Romania,Uruguay,Romania,group stage,Group 3,1,0,0,0,1930-07-21,14:50,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-59,Romania,ROU,40,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,1.0,14.0,1930,2.5,0.9,1.0,0.5,1,0,0,1,0,0,3,3,1.0,0.0,3.0,1.0,1014.35,1015.0,0,0,0
15,WC-1930,1930 FIFA World Cup,M-1930-15,Argentina v Chile,Argentina,Chile,group stage,Group 1,1,0,0,0,1930-07-22,14:45,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-13,Chile,CHL,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,2.0,12.0,1930,2.2,1.0,0.8,0.6667,2,0,0,2,0,0,6,6,3.5,1.5,2.0,0.0,1028.72,1028.71,0,0,0
16,WC-1930,1930 FIFA World Cup,M-1930-16,Argentina v United States,Argentina,United States,semi-finals,not applicable,0,1,0,0,1930-07-26,14:45,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-80,United States,USA,61,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0,2.0,10.0,1930,2.2,0.9,0.8,0.6667,3,0,0,2,0,0,9,6,3.3333,1.3333,3.0,0.0,1043.71,1029.35,0,0,0
17,WC-1930,1930 FIFA World Cup,M-1930-17,Uruguay v Yugoslavia,Uruguay,Yugoslavia,semi-finals,not applicable,0,1,0,0,1930-07-27,14:45,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-84,Yugoslavia,YUG,61,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0,1.0,4.0,1930,2.5,1.8,1.0,0.6667,2,0,0,2,0,0,6,6,2.5,0.0,3.0,0.5,1029.38,1029.35,0,0,0
18,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,Uruguay,Argentina,final,not applicable,0,1,0,0,1930-07-30,14:15,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-03,Argentina,ARG,42,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,1.0,2.0,1930,2.5,2.2,1.0,0.8,3,0,0,4,0,0,9,12,3.6667,0.3333,4.0,1.25,1044.38,1058.1,0,0,0
19,WC-1934,1934 FIFA World Cup,M-1934-01,Austria v France,Austria,France,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-081,Stadio Benito Mussolini,Turin,Italy,T-05,Austria,AUT,T-28,France,FRA,32,3,2,1,-1,1,0,0-0,0,0,home team win,1,0,0,4.0,13.0,1934,2.6,1.7,0.5,0.0,0,0,0,1,0,2,0,3,0.0,0.0,1.3333,1.0,1000.0,985.0,0,0,0
20,WC-1934,1934 FIFA World Cup,M-1934-02,Czechoslovakia v Romania,Czechoslovakia,Romania,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-080,Stadio Littorio,Trieste,Italy,T-20,Czechoslovakia,CSK,T-59,Romania,ROU,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,2.0,16.0,1934,2.4,0.9,0.75,0.0,0,0,0,1,0,1,0,3,0.0,0.0,1.5,2.5,1000.0,999.97,0,0,0
21,WC-1934,1934 FIFA World Cup,M-1934-03,Germany v Belgium,Germany,Belgium,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-072,Stadio Giovanni Berta,Florence,Italy,T-29,Germany,DEU,T-06,Belgium,BEL,52,5,2,3,-3,0,0,0-0,0,0,home team win,1,0,0,3.0,14.0,1934,2.8,1.2,0.75,0.0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,2.0,1000.0,970.03,0,0,0
22,WC-1934,1934 FIFA World Cup,M-1934-04,Hungary v Egypt,Hungary,Egypt,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-075,Stadio Giorgio Ascarelli,Naples,Italy,T-34,Hungary,HUN,T-25,Egypt,EGY,42,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,6.0,30.0,1934,2.5,0.5,0.5,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1000.0,1000.0,0,0,0
23,WC-1934,1934 FIFA World Cup,M-1934-05,Italy v United States,Italy,United States,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-078,Stadio Nazionale PNF,Rome,Italy,T-39,Italy,ITA,T-80,United States,USA,71,7,1,6,-6,0,0,0-0,0,0,home team win,1,0,0,1.0,22.0,1934,3.2,0.7,0.8,0.0,0,0,0,2,0,1,0,6,0.0,0.0,2.3333,2.0,1000.0,1014.97,0,0,0
24,WC-1934,1934 FIFA World Cup,M-1934-06,Spain v Brazil,Spain,Brazil,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-073,Stadio Luigi Ferraris,Genoa,Italy,T-71,Spain,ESP,T-09,Brazil,BRA,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,5.0,8.0,1934,2.3,1.5,0.3333,0.0,0,0,0,1,0,1,0,3,0.0,0.0,2.5,1.0,1000.0,1000.03,0,0,0
25,WC-1934,1934 FIFA World Cup,M-1934-07,Sweden v Argentina,Sweden,Argentina,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-069,Stadio Renato Dall'Ara,Bologna,Italy,T-72,Sweden,SWE,T-03,Argentina,ARG,32,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,11.0,7.0,1934,1.3,2.0,0.5,0.0,0,0,0,4,0,1,0,12,0.0,0.0,3.6,1.8,1000.0,1042.5,0,0,0
26,WC-1934,1934 FIFA World Cup,M-1934-08,Switzerland v Netherlands,Switzerland,Netherlands,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-074,San Siro,Milan,Italy,T-73,Switzerland,CHE,T-46,Netherlands,NLD,32,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,9.0,10.0,1934,1.4,1.6,0.5,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1000.0,1000.0,0,0,0
27,WC-1934,1934 FIFA World Cup,M-1934-09,Austria v Hungary,Austria,Hungary,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-069,Stadio Renato Dall'Ara,Bologna,Italy,T-05,Austria,AUT,T-34,Hungary,HUN,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,4.0,6.0,1934,2.6,2.5,0.5,0.5,1,0,0,1,0,0,3,3,3.0,2.0,4.0,2.0,1014.35,1015.0,0,0,0
28,WC-1934,1934 FIFA World Cup,M-1934-10,Czechoslovakia v Switzerland,Czechoslovakia,Switzerland,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-081,Stadio Benito Mussolini,Turin,Italy,T-20,Czechoslovakia,CSK,T-73,Switzerland,CHE,32,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,2.0,9.0,1934,2.4,1.4,0.75,0.5,1,0,0,1,0,0,3,3,2.0,1.0,3.0,2.0,1015.0,1015.0,0,0,0
29,WC-1934,1934 FIFA World Cup,M-1934-11,Germany v Sweden,Germany,Sweden,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-074,San Siro,Milan,Italy,T-29,Germany,DEU,T-72,Sweden,SWE,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,3.0,11.0,1934,2.8,1.3,0.75,0.5,1,0,0,1,0,0,3,3,5.0,2.0,3.0,2.0,1013.71,1016.83,0,0,0
30,WC-1934,1934 FIFA World Cup,M-1934-12,Italy v Spain,Italy,Spain,quarter-finals,not applicable,0,1,1,0,1934-05-31,16:30,S-072,Stadio Giovanni Berta,Florence,Italy,T-39,Italy,ITA,T-71,Spain,ESP,11,1,1,0,0,1,0,0-0,0,0,draw,0,0,1,1.0,5.0,1934,3.2,2.3,0.8,0.3333,1,0,0,1,0,0,3,3,7.0,1.0,3.0,1.0,1015.65,1015.0,0,0,0
31,WC-1934,1934 FIFA World Cup,M-1934-13,Italy v Spain,Italy,Spain,quarter-finals,not applicable,0,1,0,1,1934-06-01,16:30,S-072,Stadio Giovanni Berta,Florence,Italy,T-39,Italy,ITA,T-71,Spain,ESP,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1.0,5.0,1934,3.2,2.3,0.8,0.3333,1,1,0,1,1,0,4,4,4.0,1.0,2.0,1.0,1015.62,1015.03,0,0,1
32,WC-1934,1934 FIFA World Cup,M-1934-14,Czechoslovakia v Germany,Czechoslovakia,Germany,semi-finals,not applicable,0,1,0,0,1934-06-03,16:30,S-078,Stadio Nazionale PNF,Rome,Italy,T-20,Czechoslovakia,CSK,T-29,Germany,DEU,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,2.0,3.0,1934,2.4,2.8,0.75,0.75,2,0,0,2,0,0,6,6,2.5,1.5,3.5,1.5,1030.0,1028.84,0,0,0
33,WC-1934,1934 FIFA World Cup,M-1934-15,Italy v Austria,Italy,Austria,semi-finals,not applicable,0,1,0,0,1934-06-03,16:30,S-074,San Siro,Milan,Italy,T-39,Italy,ITA,T-05,Austria,AUT,10,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,1.0,4.0,1934,3.2,2.6,0.8,0.5,2,1,0,2,0,0,7,6,3.0,0.6667,2.5,1.5,1030.59,1029.38,0,0,0
34,WC-1934,1934 FIFA World Cup,M-1934-16,Germany v Austria,Germany,Austria,third-place match,not applicable,0,1,0,0,1934-06-07,18:00,S-075,Stadio Giorgio Ascarelli,Naples,Italy,T-29,Germany,DEU,T-05,Austria,AUT,32,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,3.0,4.0,1934,2.8,2.6,0.75,0.5,2,0,1,2,0,1,6,6,2.6667,2.0,1.6667,1.3333,1013.89,1014.43,0,0,0
35,WC-1934,1934 FIFA World Cup,M-1934-17,Italy v Czechoslovakia,Italy,Czechoslovakia,final,not applicable,0,1,0,0,1934-06-10,17:00,S-078,Stadio Nazionale PNF,Rome,Italy,T-39,Italy,ITA,T-20,Czechoslovakia,CSK,21,2,1,1,-1,1,0,0-0,0,0,home team win,1,0,0,1.0,2.0,1934,3.2,2.4,0.8,0.75,3,1,0,3,0,0,10,9,2.5,0.5,2.6667,1.3333,1045.54,1044.95,0,0,0
36,WC-1938,1938 FIFA World Cup,M-1938-01,Switzerland v Germany,Switzerland,Germany,round of 16,not applicable,0,1,1,0,1938-06-04,17:00,S-045,Parc des Princes,Paris,France,T-73,Switzerland,CHE,T-29,Germany,DEU,11,1,1,0,0,1,0,0-0,0,0,draw,0,0,1,8.0,7.0,1938,1.5,2.5,0.3333,0.0,1,0,1,3,0,1,3,9,2.5,2.5,2.75,2.0,1000.0,1028.92,0,0,0
37,WC-1938,1938 FIFA World Cup,M-1938-02,Cuba v Romania,Cuba,Romania,round of 16,not applicable,0,1,1,0,1938-06-05,17:00,S-052,Stade du T.O.E.C.,Toulouse,France,T-18,Cuba,CUB,T-59,Romania,ROU,33,3,3,0,0,1,0,0-0,0,0,draw,0,0,1,35.0,18.0,1938,0.4,0.9,0.3333,0.0,0,0,0,1,0,2,0,3,0.0,0.0,1.3333,2.3333,1000.0,984.97,0,0,0
38,WC-1938,1938 FIFA World Cup,M-1938-03,France v Belgium,France,Belgium,round of 16,not applicable,0,1,0,0,1938-06-05,17:00,S-046,Stade Olympique de Colombes,Paris,France,T-28,France,FRA,T-06,Belgium,BEL,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,5.0,12.0,1938,2.0,1.2,0.5,0.0,1,0,3,0,0,3,3,0,1.5,1.5,0.6667,3.0,970.65,956.32,0,0,0
39,WC-1938,1938 FIFA World Cup,M-1938-04,Hungary v Dutch East Indies,Hungary,Dutch East Indies,round of 16,not applicable,0,1,0,0,1938-06-05,17:00,S-047,Vélodrome Municipal,Reims,France,T-34,Hungary,HUN,T-22,Dutch East Indies,IDN,60,6,0,6,-6,0,0,0-0,0,0,home team win,1,0,0,2.0,50.0,1938,3.0,0.3,0.75,0.0,1,0,1,0,0,0,3,0,2.5,2.0,0.0,0.0,999.97,1000.0,0,0,0
40,WC-1938,1938 FIFA World Cup,M-1938-05,Italy v Norway,Italy,Norway,round of 16,not applicable,0,1,0,0,1938-06-05,17:00,S-042,Stade Vélodrome,Marseille,France,T-39,Italy,ITA,T-51,Norway,NOR,21,2,1,1,-1,1,0,0-0,0,0,home team win,1,0,0,1.0,14.0,1938,3.8,1.0,1.0,0.0,4,1,0,0,0,0,13,0,2.4,0.6,0.0,0.0,1060.51,1000.0,0,0,0
41,WC-1938,1938 FIFA World Cup,M-1938-06,Brazil v Poland,Brazil,Poland,round of 16,not applicable,0,1,0,0,1938-06-05,17:30,S-050,Stade de la Meinau,Strasbourg,France,T-09,Brazil,BRA,T-55,Poland,POL,65,6,5,1,-1,1,0,0-0,0,0,home team win,1,0,0,3.0,15.0,1938,2.8,1.1,0.6,0.0,1,0,2,0,0,0,3,0,2.0,1.6667,0.0,0.0,985.03,1000.0,0,0,0
42,WC-1938,1938 FIFA World Cup,M-1938-07,Czechoslovakia v Netherlands,Czechoslovakia,Netherlands,round of 16,not applicable,0,1,0,0,1938-06-05,18:30,S-038,Stade Jules Deschaseaux,Le Havre,France,T-20,Czechoslovakia,CSK,T-46,Netherlands,NLD,30,3,0,3,-3,1,0,0-0,0,0,home team win,1,0,0,4.0,10.0,1938,2.2,1.6,0.3333,0.0,3,0,1,0,0,1,9,0,2.25,1.5,2.0,3.0,1029.97,985.0,0,0,0
43,WC-1938,1938 FIFA World Cup,M-1938-08,Cuba v Romania,Cuba,Romania,round of 16,not applicable,0,1,0,1,1938-06-09,18:00,S-052,Stade du T.O.E.C.,Toulouse,France,T-18,Cuba,CUB,T-59,Romania,ROU,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,35.0,18.0,1938,0.4,0.9,0.3333,0.0,0,1,0,1,1,2,1,4,3.0,3.0,1.75,2.5,999.35,985.62,0,0,1
44,WC-1938,1938 FIFA World Cup,M-1938-09,Switzerland v Germany,Switzerland,Germany,round of 16,not applicable,0,1,0,1,1938-06-09,18:00,S-045,Parc des Princes,Paris,France,T-73,Switzerland,CHE,T-29,Germany,DEU,42,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,8.0,7.0,1938,1.5,2.5,0.3333,0.0,1,1,1,3,1,1,4,10,2.0,2.0,2.4,1.8,1001.25,1027.67,0,0,1
45,WC-1938,1938 FIFA World Cup,M-1938-10,Brazil v Czechoslovakia,Brazil,Czechoslovakia,quarter-finals,not applicable,0,1,1,0,1938-06-12,17:00,S-037,Stade du Parc Lescure,Bordeaux,France,T-09,Brazil,BRA,T-20,Czechoslovakia,CSK,11,1,1,0,0,1,0,0-0,0,0,draw,0,0,1,3.0,4.0,1938,2.8,2.2,0.6,0.3333,2,0,2,4,0,1,6,12,3.0,2.5,2.4,1.2,1000.67,1043.04,0,0,0
46,WC-1938,1938 FIFA World Cup,M-1938-11,Hungary v Switzerland,Hungary,Switzerland,quarter-finals,not applicable,0,1,0,0,1938-06-12,17:00,S-040,Stade Victor Boucquey,Lille,France,T-34,Hungary,HUN,T-73,Switzerland,CHE,20,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,2.0,8.0,1938,3.0,1.5,0.75,0.3333,2,0,1,2,1,1,6,7,3.6667,1.3333,2.5,2.0,1014.97,1017.38,0,0,0
47,WC-1938,1938 FIFA World Cup,M-1938-12,Italy v France,Italy,France,quarter-finals,not applicable,0,1,0,0,1938-06-12,17:00,S-046,Stade Olympique de Colombes,Paris,France,T-39,Italy,ITA,T-28,France,FRA,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,1.0,5.0,1938,3.8,2.0,1.0,0.5,4,1,0,2,0,3,13,6,1.4,0.6,1.8,1.4,1072.93,985.03,0,0,0
48,WC-1938,1938 FIFA World Cup,M-1938-13,Sweden v Cuba,Sweden,Cuba,quarter-finals,not applicable,0,1,0,0,1938-06-12,17:00,S-036,Stade du Fort Carré,Antibes,France,T-72,Sweden,SWE,T-18,Cuba,CUB,80,8,0,8,-8,0,0,0-0,0,0,home team win,1,0,0,6.0,35.0,1938,1.8,0.4,0.3333,0.3333,1,0,1,1,1,0,3,4,2.0,2.0,2.5,2.0,1001.69,1013.76,0,0,0
49,WC-1938,1938 FIFA World Cup,M-1938-14,Brazil v Czechoslovakia,Brazil,Czechoslovakia,quarter-finals,not applicable,0,1,0,1,1938-06-14,18:00,S-037,Stade du Parc Lescure,Bordeaux,France,T-09,Brazil,BRA,T-20,Czechoslovakia,CSK,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,3.0,4.0,1938,2.8,2.2,0.6,0.3333,2,1,2,3,1,1,7,10,2.6,2.2,2.2,1.2,1002.49,1041.22,0,0,1
50,WC-1938,1938 FIFA World Cup,M-1938-15,Hungary v Sweden,Hungary,Sweden,semi-finals,not applicable,0,1,0,0,1938-06-16,18:00,S-045,Parc des Princes,Paris,France,T-34,Hungary,HUN,T-72,Sweden,SWE,51,5,1,4,-4,0,0,0-0,0,0,home team win,1,0,0,2.0,6.0,1938,3.0,1.8,0.75,0.3333,3,0,1,2,0,1,9,6,3.25,1.0,4.0,1.3333,1030.08,1017.21,0,0,0
51,WC-1938,1938 FIFA World Cup,M-1938-16,Italy v Brazil,Italy,Brazil,semi-finals,not applicable,0,1,0,0,1938-06-16,18:00,S-042,Stade Vélodrome,Marseille,France,T-39,Italy,ITA,T-09,Brazil,BRA,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,1.0,3.0,1938,3.8,2.8,1.0,0.6,5,0,0,3,1,1,15,10,1.8,0.6,2.8,2.0,1084.21,1019.16,0,0,0
52,WC-1938,1938 FIFA World Cup,M-1938-17,Brazil v Sweden,Brazil,Sweden,third-place match,not applicable,0,1,0,0,1938-06-19,17:00,S-037,Stade du Parc Lescure,Bordeaux,France,T-09,Brazil,BRA,T-72,Sweden,SWE,42,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,3.0,6.0,1938,2.8,1.8,0.6,0.3333,2,1,2,2,0,2,7,6,2.2,2.4,3.25,2.25,1006.93,1002.77,0,0,0
53,WC-1938,1938 FIFA World Cup,M-1938-18,Italy v Hungary,Italy,Hungary,final,not applicable,0,1,0,0,1938-06-19,17:00,S-046,Stade Olympique de Colombes,Paris,France,T-39,Italy,ITA,T-34,Hungary,HUN,42,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,1.0,2.0,1938,3.8,3.0,1.0,0.75,5,0,0,4,0,1,15,12,2.0,0.8,3.6,1.0,1096.44,1044.52,0,0,0
54,WC-1950,1950 FIFA World Cup,M-1950-01,Brazil v Mexico,Brazil,Mexico,group stage,Group 1,1,0,0,0,1950-06-24,15:00,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,T-09,Brazil,BRA,T-44,Mexico,MEX,40,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,2.0,22.0,1950,5.0,0.9,0.6667,0.0,3,1,1,0,0,3,10,0,2.8,2.2,1.3333,4.3333,1021.75,957.58,0,0,0
55,WC-1950,1950 FIFA World Cup,M-1950-02,Yugoslavia v Switzerland,Yugoslavia,Switzerland,group stage,Group 1,1,0,0,0,1950-06-25,15:00,S-007,Estádio Independência,Belo Horizonte,Brazil,T-84,Yugoslavia,YUG,T-73,Switzerland,CHE,30,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,7.0,10.0,1950,2.5,1.8,0.6667,0.3333,2,0,1,2,1,2,6,7,2.3333,2.3333,2.0,2.0,1014.35,1002.28,0,0,0
